Latitude (decimal degrees):	59.134
Longitude (decimal degrees):	10.173
Elevation (m):	62
Radiation database:	PVGIS-ERA5


Slope: 47 deg. (optimum)
Azimuth: -1 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	335.5
System losses (%):	20.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0030,0.0,0.0,0.0,1.16,2.41,0.0
20230101:0130,0.0,0.0,0.0,0.84,2.28,0.0
20230101:0230,0.0,0.0,0.0,0.55,2.41,0.0
20230101:0330,0.0,0.0,0.0,0.31,2.69,0.0
20230101:0430,0.0,0.0,0.0,0.25,3.17,0.0
20230101:0530,0.0,0.0,0.0,0.12,3.59,0.0
20230101:0630,0.0,0.0,0.0,-0.07,3.93,0.0
20230101:0730,0.0,0.0,0.0,-0.81,4.0,0.0
20230101:0830,0.0,5.27,0.51,-1.15,4.07,0.0
20230101:0930,42789.67,162.79,4.63,-1.37,4.34,0.0
20230101:1030,39206.53,151.12,7.14,-1.22,4.41,0.0
20230101:1130,13681.69,63.7,7.84,-0.98,4.48,0.0
20230101:1230,5800.8,33.78,6.69,-0.81,4.55,0.0
20230101:1330,1640.59,15.35,3.77,-0.83,4.07,0.0
20230101:1430,0.0,0.0,-0.71,-1.0,4.0,0.0
20230101:1530,0.0,0.0,0.0,-1.17,3.93,0.0
20230101:1630,0.0,0.0,0.0,-1.26,3.79,0.0
20230101:1730,0.0,0.0,0.0,-1.3,3.59,0.0
20230101:1830,0.0,0.0,0.0,-1.39,3.79,0.0
20230101:1930,0.0,0.0,0.0,-1.46,4.97,0.0
20230101:2030,0.0,0.0,0.0,-1.69,5.1,0.0
20230101:2130,0.0,0.0,0.0,-1.92,5.45,0.0
20230101:2230,0.0,0.0,0.0,-2.09,5.52,0.0
20230101:2330,0.0,0.0,0.0,-2.11,5.66,0.0
20230102:0030,0.0,0.0,0.0,-2.15,5.79,0.0
20230102:0130,0.0,0.0,0.0,-2.13,5.45,0.0
20230102:0230,0.0,0.0,0.0,-2.11,5.03,0.0
20230102:0330,0.0,0.0,0.0,-2.03,4.69,0.0
20230102:0430,0.0,0.0,0.0,-2.09,4.34,0.0
20230102:0530,0.0,0.0,0.0,-2.09,4.14,0.0
20230102:0630,0.0,0.0,0.0,-2.07,4.34,0.0
20230102:0730,0.0,0.0,0.0,-2.43,4.83,0.0
20230102:0830,0.0,3.97,0.55,-2.46,4.83,0.0
20230102:0930,13493.81,61.87,4.69,-2.39,4.83,0.0
20230102:1030,11719.02,55.74,7.21,-2.21,4.9,0.0
20230102:1130,6018.87,34.43,7.93,-2.03,4.69,0.0
20230102:1230,3683.79,24.76,6.79,-1.9,4.62,0.0
20230102:1330,1318.52,13.62,3.88,-1.82,4.69,0.0
20230102:1430,0.0,0.0,-0.59,-1.85,4.69,0.0
20230102:1530,0.0,0.0,0.0,-1.88,4.69,0.0
20230102:1630,0.0,0.0,0.0,-1.92,4.69,0.0
20230102:1730,0.0,0.0,0.0,-1.95,4.69,0.0
20230102:1830,0.0,0.0,0.0,-2.02,4.55,0.0
20230102:1930,0.0,0.0,0.0,-2.16,4.62,0.0
20230102:2030,0.0,0.0,0.0,-2.05,4.55,0.0
20230102:2130,0.0,0.0,0.0,-1.97,4.41,0.0
20230102:2230,0.0,0.0,0.0,-1.91,4.21,0.0
20230102:2330,0.0,0.0,0.0,-2.07,4.0,0.0
20230103:0030,0.0,0.0,0.0,-2.32,3.66,0.0
20230103:0130,0.0,0.0,0.0,-2.38,3.24,0.0
20230103:0230,0.0,0.0,0.0,-2.43,2.76,0.0
20230103:0330,0.0,0.0,0.0,-2.46,2.34,0.0
20230103:0430,0.0,0.0,0.0,-2.52,2.07,0.0
20230103:0530,0.0,0.0,0.0,-2.54,1.79,0.0
20230103:0630,0.0,0.0,0.0,-2.76,1.66,0.0
20230103:0730,0.0,0.0,0.0,-3.11,2.28,0.0
20230103:0830,0.0,5.01,0.6,-3.28,2.0,0.0
20230103:0930,84170.24,301.84,4.75,-3.64,1.72,0.0
